20 480	51
40 120	94
60 360	96
80 440	93
100 300	73
100 380	69
160 80	77
180 60	74
240 100	58
320 320	59
400 500	63
480 240	95
500 340	70
380 40	90
480 220	55
160 320	81
320 260	95
120 300	66
400 380	50
220 200	88
120 500	82
380 320	70
300 40	55
300 140	65
140 100	61
420 240	90
60 20	53
60 320	69
80 220	72
40 480	59
180 80	68
420 400	69
200 160	93
340 120	58
100 100	69
60 240	83
220 80	80
20 200	67
320 480	69
320 360	90
120 480	61
140 320	88
100 420	50
200 20	52
240 140	83
40 440	66
380 60	75
40 100	79
360 100	96
20 320	88
240 200	53
